otu_id,Phylum,Class,Order,Family,Genus,Species
OTU359,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Achaeta,Achaeta danica
OTU361,NA,NA,NA,NA,NA,NA
OTU362,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,NA
OTU364,NA,NA,NA,NA,NA,NA
OTU366,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,Aporrectodea rosea
OTU367,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia paroniana
OTU368,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Desoria,Desoria grisea
OTU371,Arthropoda,Insecta,Diptera,Chironomidae,Conchapelopia,Conchapelopia melanops
OTU374,NA,NA,NA,NA,NA,NA
OTU377,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus crystallinus
OTU379,NA,NA,NA,NA,NA,NA
OTU381,NA,NA,NA,NA,NA,NA
OTU385,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia semisetosa
OTU386,NA,NA,NA,NA,NA,NA
OTU387,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Murchieona,Murchieona minuscula
OTU388,NA,NA,NA,NA,NA,NA
OTU391,NA,NA,NA,NA,NA,NA
OTU392,NA,NA,NA,NA,NA,NA
OTU394,Arthropoda,Insecta,Coleoptera,Lampyridae,Phosphaenus,Phosphaenus hemipterus
OTU396,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Buchholzia,Buchholzia appendiculata
OTU397,NA,NA,NA,NA,NA,NA
OTU401,NA,NA,NA,NA,NA,NA
OTU404,Arthropoda,Insecta,Diptera,unclassified,NA,NA
OTU405,NA,NA,NA,NA,NA,NA
OTU411,NA,NA,NA,NA,NA,NA
OTU414,Arthropoda,Insecta,Coleoptera,Staphylinidae,Quedius,Quedius boopoides
OTU415,NA,NA,NA,NA,NA,NA
OTU416,NA,NA,NA,NA,NA,NA
OTU418,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula maxima
OTU420,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,NA
OTU421,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Hoplia,Hoplia philanthus
OTU422,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Cyclops,NA
OTU426,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA
OTU427,NA,NA,NA,NA,NA,NA
OTU430,NA,NA,NA,NA,NA,NA
OTU433,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus albiforceps
OTU435,NA,NA,NA,NA,NA,NA
OTU437,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,Dicrotendipes lobiger
OTU438,NA,NA,NA,NA,NA,NA
OTU442,Arthropoda,NA,NA,NA,NA,NA
OTU443,Arthropoda,NA,NA,NA,NA,NA
OTU444,NA,NA,NA,NA,NA,NA
OTU448,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia paroniana
OTU449,NA,NA,NA,NA,NA,NA
OTU450,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Murchieona,Murchieona minuscula
OTU451,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,NA
OTU452,Arthropoda,Insecta,Coleoptera,Staphylinidae,Medon,NA
OTU453,NA,NA,NA,NA,NA,NA
OTU454,NA,NA,NA,NA,NA,NA
OTU456,Arthropoda,Insecta,Diptera,Hybotidae,Platypalpus,Platypalpus candicans
OTU460,Arthropoda,Insecta,NA,NA,NA,NA
OTU461,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Desoria,Desoria grisea
OTU468,NA,NA,NA,NA,NA,NA
OTU471,NA,NA,NA,NA,NA,NA
OTU474,NA,NA,NA,NA,NA,NA
OTU479,Arthropoda,Insecta,Diptera,Polleniidae,Pollenia,Pollenia pediculata
OTU481,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia ratzeli
OTU482,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus crataegi
OTU484,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Buchholzia,Buchholzia appendiculata
OTU485,NA,NA,NA,NA,NA,NA
OTU486,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia semisetosa
OTU488,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,NA
OTU490,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeon,Cloeon dipterum
OTU492,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,NA
OTU493,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus crystallinus
OTU494,NA,NA,NA,NA,NA,NA
OTU496,NA,NA,NA,NA,NA,NA
OTU498,NA,NA,NA,NA,NA,NA
OTU502,Arthropoda,NA,NA,NA,NA,NA
OTU503,Arthropoda,Insecta,NA,NA,NA,NA
OTU505,Arthropoda,Insecta,Diptera,NA,NA,NA
OTU509,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Willowsia,Willowsia nigromaculata
OTU512,NA,NA,NA,NA,NA,NA
OTU514,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,NA
OTU515,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula maxima
OTU516,NA,NA,NA,NA,NA,NA
OTU517,NA,NA,NA,NA,NA,NA
OTU519,NA,NA,NA,NA,NA,NA
OTU520,NA,NA,NA,NA,NA,NA
OTU522,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Hoplia,Hoplia philanthus
OTU523,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,NA
OTU528,NA,NA,NA,NA,NA,NA
OTU530,NA,NA,NA,NA,NA,NA
OTU535,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion cyaneum
OTU536,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Buchholzia,Buchholzia appendiculata
OTU538,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia paroniana
OTU540,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA
OTU541,NA,NA,NA,NA,NA,NA
OTU543,NA,NA,NA,NA,NA,NA
OTU544,NA,NA,NA,NA,NA,NA
OTU545,Arthropoda,Insecta,Diptera,Hybotidae,Platypalpus,Platypalpus longicornis
OTU546,Annelida,Clitellata,Tubificida,Naididae,Chaetogaster,Chaetogaster diastrophus
OTU548,NA,NA,NA,NA,NA,NA
OTU549,NA,NA,NA,NA,NA,NA
OTU550,NA,NA,NA,NA,NA,NA
OTU551,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Cyclops,NA
OTU555,NA,NA,NA,NA,NA,NA
OTU557,NA,NA,NA,NA,NA,NA
OTU558,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,Dicrotendipes lobiger
OTU559,NA,NA,NA,NA,NA,NA
OTU563,Arthropoda,Insecta,Coleoptera,Staphylinidae,Quedius,Quedius boopoides
OTU564,Annelida,Clitellata,NA,NA,NA,NA
OTU566,NA,NA,NA,NA,NA,NA
OTU567,NA,NA,NA,NA,NA,NA
OTU572,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus albiforceps
OTU574,NA,NA,NA,NA,NA,NA
OTU575,NA,NA,NA,NA,NA,NA
OTU577,Arthropoda,Insecta,Diptera,NA,NA,NA
OTU578,NA,NA,NA,NA,NA,NA
OTU581,NA,NA,NA,NA,NA,NA
OTU582,NA,NA,NA,NA,NA,NA
OTU584,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,NA
OTU586,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,Octolasion cyaneum
OTU590,NA,NA,NA,NA,NA,NA
OTU591,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeon,Cloeon dipterum
OTU592,NA,NA,NA,NA,NA,NA
OTU593,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus crataegi
OTU595,NA,NA,NA,NA,NA,NA
OTU597,NA,NA,NA,NA,NA,NA
OTU600,NA,NA,NA,NA,NA,NA
OTU605,Arthropoda,Insecta,NA,NA,NA,NA
OTU606,NA,NA,NA,NA,NA,NA
OTU607,NA,NA,NA,NA,NA,NA
OTU609,NA,NA,NA,NA,NA,NA
OTU612,Arthropoda,Insecta,Diptera,NA,NA,NA
OTU616,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Achaeta,Achaeta danica
OTU624,NA,NA,NA,NA,NA,NA
OTU625,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Buchholzia,Buchholzia appendiculata
OTU626,NA,NA,NA,NA,NA,NA
OTU628,NA,NA,NA,NA,NA,NA
OTU629,Arthropoda,Insecta,Diptera,Hybotidae,Platypalpus,Platypalpus longicornis
OTU630,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Willowsia,Willowsia nigromaculata
OTU639,NA,NA,NA,NA,NA,NA
OTU640,NA,NA,NA,NA,NA,NA
OTU645,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula lateralis
OTU646,NA,NA,NA,NA,NA,NA
OTU647,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,NA
OTU648,NA,NA,NA,NA,NA,NA
