otu_id,Class,Family,Genus,Species,Life_cycle,Source
OTU50,Clitellata,Lumbricidae,Aporrectodea,rosea,Terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU502,NA,NA,NA,NA,NA,NA
OTU503,Insecta,NA,NA,NA,NA,NA
OTU5045,NA,NA,NA,NA,NA,NA
OTU505,Insecta,NA,NA,NA,NA,NA
OTU509,Collembola,Entomobryidae,Willowsia,nigromaculata,Semi-terrestrial,MISSOURI DEPARTMENT OF CONSERVATION
OTU5094,NA,NA,NA,NA,NA,NA
OTU51,NA,NA,NA,NA,NA,NA
OTU512,NA,NA,NA,NA,NA,NA
OTU514,Clitellata,Lumbricidae,Lumbricus,NA,Semi-terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU5142,Insecta,Chironomidae,NA,NA,Semi-aquatic,freshwaterecology.info
OTU523,Clitellata,Lumbricidae,Lumbricus,NA,Semi-terrestrial,"Jones D. and Eggleton P., 2014 Earthworms in England: distribution, abundance and habitats Natural England Commissioned Report NECR145 http://publications.naturalengland.org.uk/publication/5174957155811328"
OTU53,NA,NA,NA,NA,NA,NA
OTU5377,NA,NA,NA,NA,NA,NA
OTU54,Insecta,Chironomidae,Eukiefferiella,claripennis,Semi-aquatic,freshwaterecology.info
OTU544,NA,NA,NA,NA,NA,NA
OTU5449,Insecta,unclassified,NA,NA,NA,NA
OTU546,Clitellata,Naididae,Chaetogaster,diastrophus,Semi-terrestrial,freshwaterecology.info
OTU548,NA,NA,NA,NA,NA,NA
